meter_id,billing_start,billing_end,usage_kwh,tariff
M-A100,2023-01-01,2023-01-31,12500,0.12
M-A100,2023-02-01,2023-02-28,11200,0.12
M-B200,2023-01-15,2023-02-14,8450.5,0.14
M-B200,2023-02-15,2023-03-14,9100,0.14
M-C300,2023-03-01,2023-03-31,-500,0.15
M-A100,2023-03-01,2023-03-31,12800,0.12
M-A100,2023-04-01,2023-04-30,11900,0.12
M-B200,2023-03-15,2023-04-14,8750,0.14
M-B200,2023-04-15,2023-05-14,9300,0.14
M-C300,2023-04-01,2023-04-30,10500,0.15
M-A100,2023-05-01,2023-05-31,13500,0.13
M-A100,2023-06-01,2023-06-30,14200,0.13
M-B200,2023-05-15,2023-06-14,10200,0.15
M-C300,2023-05-01,2023-05-31,11100,0.15
M-C300,2023-06-01,2023-06-30,0,0.15
M-A100,2023-07-01,2023-07-31,15100,0.13
M-B200,2023-06-15,2023-07-14,11500,0.15
M-C300,2023-07-01,2023-07-31,12400,0.15
M-D400,2023-01-01,2023-01-31,45000,0.10
M-D400,2023-02-01,2023-02-28,42000,0.10
M-D400,2023-03-01,2023-03-31,47500,0.10
M-D400,2023-04-01,2023-04-30,46000,0.10
M-D400,2023-05-01,2023-05-31,,0.10
